wine,rating,reviewer
A Blooming Hill Vineyard 2016 Mingle White (Chehalem Mountains),85,Paul Gregutt
A. D. Coutelas NV Origin Brut  (Champagne),90,Roger Voss
A. D. Coutelas NV Origin Brut  (Champagne),87,Roger Voss
A.R. Lenoble??2008 Grand Cru Blanc de Blancs Chouilly Brut Chardonnay (Champagne),93,Roger Voss
A.R. Lenoble??2009 Gentilhomme Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),93,Roger Voss
A.R. Lenoble??2009 Premier Cru Blanc de Noirs Bisseuil Brut Pinot Noir (Champagne),92,Roger Voss
A.R. Lenoble??NV Dosage Z챕ro Brut Nature  (Champagne),89,Roger Voss
A.R. Lenoble??NV Dosage Z챕ro Brut Nature  (Champagne),90,Roger Voss
A.R. Lenoble??NV Grand Cru Blanc de Blancs Chouilly Brut Chardonnay (Champagne),91,Roger Voss
A.R. Lenoble??NV Grand Cru Blanc de Blancs Chouilly Brut Chardonnay (Champagne),92,Roger Voss
A.R. Lenoble??NV Intense Brut  (Champagne),89,Roger Voss
A.R. Lenoble??NV Intense Brut  (Champagne),90,Roger Voss
A.R. Lenoble??NV Terroirs Brut Ros�? (Champagne),87,Roger Voss
A.R. Lenoble??NV Terroirs Brut Ros�? (Champagne),91,Roger Voss
Achaia Clauss NV Imperial  (Mavrodaphne of Patras),85,Susan Kostrzewa
Acinum NV Extra Dry  (Prosecco),86,Kerin O??�eefe
Adami 2016 Sul Lievito Glera,88,Kerin O??�eefe
Adega Cooperativa de Borba 2008 Reserva Red (Alentejo),90,Roger Voss
Adega Cooperativa do Cartaxo 2015 Brid찾o Colheita Seleccionada Trincadeira (Tejo),86,Roger Voss
Adega de Cantanhede NV Marqu챗s de Marialva Bical & Arinto Bruto Sparkling (Beira Atlantico),88,Roger Voss
Adler Fels 2014 The Eagle Rock Pinot Noir,89,Matt Kettmann
Admirable Family Vineyard 2014 Blanc & Blanc Viognier-Chardonnay (Santa Barbara County),88,Matt Kettmann
Aether Wine Company 2014 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),94,Matt Kettmann
Airlie 2004 Gew체rztraminer (Willamette Valley),84,Paul Gregutt
Alain Brumont 2003 Ch창teau Montus Cuv챕e Prestige Tannat (Madiran),94,Roger Voss
Alain Brumont 2006 Ch창teau Bouscass�?Vieilles Vignes Tannat (Madiran),95,Roger Voss
Alain Brumont 2007 Ch창teau Bouscass�?Argile Red (Madiran),93,Roger Voss
Alain Brumont 2007 Ch창teau Bouscass�?Vieilles Vignes Tannat (Madiran),95,Roger Voss
Alain Brumont 2007 Ch창teau Montus Tannat-Cabernet Franc (Madiran),94,Roger Voss
Alain Brumont 2008 Ch창teau Bouscass�?Red (Madiran),92,Roger Voss
Alain Brumont 2008 Ch창teau Montus Tannat-Cabernet (Madiran),93,Roger Voss
Alain Brumont 2009 Ch창teau Bouscass�?Red (Madiran),94,Roger Voss
Alain Brumont 2009 Ch창teau Montus Tannat-Cabernet (Madiran),94,Roger Voss
Alain Brumont 2010 Ch창teau Bouscass�?Red (Madiran),95,Roger Voss
Alain Brumont 2010 Ch창teau Montus Tannat-Cabernet (Madiran),94,Roger Voss
Alain Brumont 2010 Torus Tannat-Cabernet (Madiran),88,Roger Voss
Alain Brumont 2011 Ch창teau Bouscass�?Red (Madiran),94,Roger Voss
Alain Brumont 2011 Ch창teau Montus Tannat-Cabernet (Madiran),93,Roger Voss
Alain Jaume et Fils 2014 Domaine Grand Veneur La Fontaine Roussanne (Ch창teauneuf-du-Pape),92,Joe Czerwinski
Albert Bichot 2014 S챕cret de la Famille  (Bourgogne),88,Roger Voss
Albert Bichot NV Brut R챕serve  (Cr챕mant de Bourgogne),89,Anne Krebiehl?�MW
Alberto Nani NV Organic Extra Dry  (Prosecco),87,Kerin O??�eefe
Alexana 2015 Fennwood Vineyard Pinot Noir,90,Paul Gregutt
Alfred Gratien NV Brut  (Champagne),88,Roger Voss
Allimant-Laugner NV Brut Sparkling (Cr챕mant d'Alsace),88,Anne Krebiehl?�MW
Allimant-Laugner NV Brut Sparkling (Cr챕mant d'Alsace),89,Anne Krebiehl?�MW
Allimant-Laugner NV Sparkling (Cr챕mant d'Alsace),90,Anne Krebiehl?�MW
Alma Negra NV Brut Nature Ros�?Sparkling (Mendoza),83,Michael Schachner
Alphonse Mellot 2016 La Moussi챔re  (Sancerre),90,Roger Voss
Alta Vista 2012 Single Vineyard Temis Malbec (Valle de Uco),95,Michael Schachner
